EnhancementId,Priority,Area,Goal,PrimaryObjects,CostClass,ImplementationStatus,AcceptanceSummary
OPS-004,P1,Error log analysis,"Read bounded SQL Server and optional Agent error logs into categories counts time range and partial source status",USP_ErrorLogAnalysis|sys.sp_readerrorlog|SQL Server error log|SQL Server Agent error log,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"Archive time keyword permission large-log and text-opt-in cases; no log rotation and no default full message output"
SQL25-001,P2,Vector index runtime,"Analyze supported vector index state performance and maintenance evidence beyond capability inventory",USP_VectorIndexAnalysis|USP_ObjectAnalysis|sys.vector_indexes|sys.dm_db_vector_indexes,MEDIUM,IMPLEMENTED_ACTIONS_GATE,"No-feature active maintenance empty denied bounded cross-database named TABLE and orchestrator cases pass with feature detection before reference on SQL Server 2019 2022 and 2025"
SQL25-002,P2,JSON index inventory,"Add supported JSON indexes and paths to existing object and index inventories",USP_ObjectInventory|USP_ObjectAnalysis|USP_ServerFeatureCapabilities|sys.json_indexes|sys.json_index_paths,LOW,IMPLEMENTED_ACTIONS_GATE,"No-feature empty visible restricted-metadata bounded TABLE JSON capability-inventory and orchestrator cases pass; inventory does not imply health and no dedicated procedure was added"
SQL25-003,P2,TempDB resource governance,"Expose workload-group TempDB limits current and peak use and limit violation counts",USP_ResourceGovernorAnalysis|USP_CurrentTempDB|USP_CurrentOverview|sys.resource_governor_workload_groups|sys.dm_resource_governor_workload_groups|master.sys.master_files,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"2019 2022 unavailable-version plus 2025 no-limit fixed-percent precedence ineffective-percent current peak violation reset restricted-metadata named-TABLE JSON parent-routing and LOCK_TIMEOUT cases; limits use and violations remain distinct"
SQL25-004,P2,Readable secondary statistics,"Preserve replica role and source metadata for statistics created or maintained on readable secondaries",USP_Statistics|sys.stats,LOW_TO_MEDIUM,IMPLEMENTED_ACTIONS_GATE,"2019 2022 unavailable-version; 2025 real catalog plus primary or not-recorded origin; synthetic secondary and partial-role mapping; restricted metadata empty scope bounded TABLE JSON and LOCK_TIMEOUT cases"
SQL25-005,P2,Secondary replica Query Store,"Make Query Store analyses replica-aware instead of detecting sys.query_store_replicas only as a capability",Query Store modules|sys.query_store_replicas,MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Primary secondary disabled unsupported cleanup denied and partial replica evidence cases"
OPS-005,P2,Linked servers,"Inventory visible linked-server configuration providers and waits with optional bounded connectivity test",USP_LinkedServerAnalysis|sys.servers|sp_testlinkedserver,LOW_TO_HIGH,RESEARCHED_NOT_IMPLEMENTED,"No linked server legacy provider denied timeout and opt-in test cases; default performs no remote access"
OPS-006,P2,Database portability,"Expose persisted edition features and uncontained dependencies for restore edition change and migration",USP_DatabasePortabilityAnalysis|sys.dm_db_persisted_sku_features|sys.dm_db_uncontained_entities,LOW_TO_MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Portable feature-bound uncontained unsupported denied and cross-version cases without automatic DDL"
OPS-007,P3,Cursor diagnostics,"Add bounded opt-in current cursor resource and dormancy evidence to session analysis",USP_CurrentSessions|sys.dm_exec_cursors,MEDIUM_OPT_IN,RESEARCHED_NOT_IMPLEMENTED,"No cursor active dormant high-cost denied and session-scoped limit cases; cursor existence alone is not a defect"
OPS-008,P2,msdb health and retention,"Analyze size growth and retention of backup restore job mail and maintenance histories",USP_MsdbHealthAnalysis|msdb system tables,LOW_TO_MEDIUM,RESEARCHED_NOT_IMPLEMENTED,"Empty short-retention long-retention growth denied and bounded-history cases; no cleanup is executed"
OPS-009,P3,System database user objects,"Inventory visible user objects in master model and msdb as maintenance and portability evidence",USP_SystemDatabaseObjectInventory|system catalogs,LOW,RESEARCHED_NOT_IMPLEMENTED,"Empty synthetic object denied and partial-visibility cases; no object is dropped moved or altered"
