SystemSource,SourceType,Scope,MinimumVersionOrCondition,PermissionGuidance,CostClass,FrameworkModules,Provenance
msdb.dbo.log_shipping_monitor_secondary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.log_shipping_primary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.log_shipping_secondary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.restorehistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql | Code/07_Infrastructure/100_USP_BackupChainAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.suspect_pages,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in msdb; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/08_ServerHealth/110_USP_DatabaseIntegrityAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
msdb.dbo.sysalerts,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in msdb; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
msdb.dbo.syscategories,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysjobactivity,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/130_USP_MaintenanceOperations.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysjobhistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysjobs,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/010_USP_AgentStatus.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql | Code/07_Infrastructure/130_USP_MaintenanceOperations.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysjobschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysjobsteps,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.sysmail_allitems,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in msdb; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
msdb.dbo.sysnotifications,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in msdb; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
msdb.dbo.sysoperators,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in msdb; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
msdb.dbo.sysschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
msdb.dbo.syssessions,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/010_USP_AgentStatus.sql | Code/07_Infrastructure/130_USP_MaintenanceOperations.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.all_columns,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2025 capability probe,Metadata visibility; framework grants none,LOW,Code/03_ObjectIndex/040_USP_Statistics.sql | Code/03_ObjectIndex/075_USP_VectorIndexAnalysis.sql,Feature and source-schema probe only; no user column values are read
sys.all_objects,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2025 capability probe,Metadata visibility; framework grants none,LOW,Code/03_ObjectIndex/075_USP_VectorIndexAnalysis.sql,Feature and source-schema probe only; no user object definitions are read
sys.all_views,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2025 capability probe,Metadata visibility; framework grants none,LOW,Code/03_ObjectIndex/040_USP_Statistics.sql,SQL25-004 validates the sys.stats replica-field schema; no user view definitions are read
sys.allocation_units,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/030_USP_CurrentBlocking.sql | Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/050_USP_Partitions.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.assemblies,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline,Metadata visibility; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/100_USP_ClrAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.availability_group_listener_ip_addresses,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.availability_group_listeners,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.availability_groups,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/040_USP_AvailabilityGroups.sql | Code/07_Infrastructure/110_USP_AvailabilityDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.availability_read_only_routing_lists,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.availability_replicas,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql | Code/07_Infrastructure/110_USP_AvailabilityDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.change_tracking_databases,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.change_tracking_tables,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.check_constraints,CATALOG_VIEW_OR_TABLE,DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Database metadata visibility or VIEW DATABASE STATE/PERFORMANCE STATE as source-specific; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/090_USP_SchemaDesignAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.column_encryption_keys,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2016+,Metadata visibility; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.column_master_keys,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2016+,Metadata visibility; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.column_store_dictionaries,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.column_store_row_groups,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2012+,Metadata visibility / VIEW DEFINITION may affect completeness,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.column_store_segments,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.columns,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/040_USP_Statistics.sql | Code/03_ObjectIndex/045_USP_StatisticsDistributionAnalysis.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql | Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/040_USP_TemporalAnalysis.sql | Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.configurations,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/04_PlanCache/030_USP_PlanCacheHealth.sql | Code/06_ExtendedEvents/040_USP_ExtendedEventsBlockedProcesses.sql | Code/08_ServerHealth/030_USP_ServerMemory.sql | Code/08_ServerHealth/040_USP_TempDBConfiguration.sql | Code/08_ServerHealth/050_USP_ServerConfiguration.sql | Code/08_ServerHealth/090_USP_ServerSecurityConfiguration.sql | Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/08_ServerHealth/180_USP_WorkerPressureAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.conversation_endpoints,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline and visible Service Broker conversations,Metadata visibility; framework grants none,MEDIUM_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/050_USP_ServiceBrokerAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.data_spaces,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/050_USP_Partitions.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.database_automatic_tuning_options,CATALOG_VIEW_OR_TABLE,DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Database metadata visibility or VIEW DATABASE STATE/PERFORMANCE STATE as source-specific; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/05_QueryStore/090_USP_IntelligentQueryProcessingAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
sys.database_files,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/070_USP_CurrentTempDB.sql | Code/08_ServerHealth/120_USP_DatabaseCapacityAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.database_query_store_options,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,MEDIUM_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/05_QueryStore/010_USP_QueryStoreStatus.sql | Code/05_QueryStore/020_USP_QueryStoreRuntimeStats.sql | Code/05_QueryStore/030_USP_QueryStoreWaitStats.sql | Code/05_QueryStore/040_USP_QueryStorePlanChanges.sql | Code/05_QueryStore/050_USP_QueryStoreRegressions.sql | Code/05_QueryStore/060_USP_QueryStoreForcedPlans.sql | Code/05_QueryStore/090_USP_IntelligentQueryProcessingAnalysis.sql | Code/08_ServerHealth/190_USP_DatabaseConfigurationAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.database_scoped_configurations,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/05_QueryStore/090_USP_IntelligentQueryProcessingAnalysis.sql | Code/08_ServerHealth/190_USP_DatabaseConfigurationAnalysis.sql | Code/03_ObjectIndex/075_USP_VectorIndexAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.databases,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/02_CurrentState/010_USP_CurrentSessions.sql | Code/02_CurrentState/020_USP_CurrentRequests.sql | Code/02_CurrentState/060_USP_CurrentMemoryGrants.sql | Code/07_Infrastructure/070_USP_ReplicationStatus.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql | Code/03_ObjectIndex/045_USP_StatisticsDistributionAnalysis.sql | Code/05_QueryStore/090_USP_IntelligentQueryProcessingAnalysis.sql | Code/08_ServerHealth/170_USP_DiagnosticFindings.sql | Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql | Code/09_VersionAdaptive/030_USP_InMemoryOltpAnalysis.sql | Code/09_VersionAdaptive/040_USP_TemporalAnalysis.sql | Code/09_VersionAdaptive/050_USP_ServiceBrokerAnalysis.sql | Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql | Code/07_Infrastructure/130_USP_MaintenanceOperations.sql | Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.destination_data_spaces,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/050_USP_Partitions.sql,Framework source contract and SQL Server system object semantics; no runtime evidence persisted
sys.dm_broker_activated_tasks,DMV_OR_DMF,SERVER,SQL Server 2019+ baseline,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE; framework grants none,MEDIUM_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/050_USP_ServiceBrokerAnalysis.sql,Framework source contract and official Microsoft documentation; no runtime evidence persisted
