Capability,PrimaryDetection,DefaultBehavior,UnavailableStatus,Fallback,RightsGrantedByFramework
DATABASE_INTEGRITY_EVIDENCE,"msdb, database metadata and optional HADR/page visibility",Read-only metadata; page details opt-in,"DENIED_PERMISSION, DATABASE_UNAVAILABLE or AVAILABLE_LIMITED",Return accessible evidence and state explicitly that absence is not proof,NO
VOLUME_CAPACITY_EVIDENCE,Database-file metadata plus sys.dm_os_volume_stats,Requested databases only,"DENIED_PERMISSION or AVAILABLE_LIMITED",Keep file and volume capacity separate; do not synthesize time-to-full,NO
PERFORMANCE_COUNTERS_TYPED,Counter source plus supported cntr_type contract,Snapshot by default; rate sample explicit,"DENIED_PERMISSION or ERROR_HANDLED",Return unsupported types as RAW_UNINTERPRETED,NO
CRITICAL_ENGINE_EVENTS,Existing system_health event-file target plus optional one-shot diagnostics,Read-only event file; XML and sp_server_diagnostics opt-in,"UNAVAILABLE_OBJECT, DENIED_PERMISSION or AVAILABLE_LIMITED",Continue with the independently available source,NO
IQP_FEEDBACK,"Product version, compatibility level, Query Store and tuning catalogs",Opt-in; SQL 2022 views dynamically isolated,"UNAVAILABLE_FEATURE, DENIED_PERMISSION or AVAILABLE_LIMITED",Return configuration and explicit source availability without defect claim,NO
INTERNAL_CONTENTION,Server DMVs plus optional page metadata,Interval sample and page details explicit,"DENIED_PERMISSION or ERROR_HANDLED",Return cumulative or delta semantics and reset flag,NO
BUFFER_POOL_DEEP,Memory DMVs and optional buffer descriptor scan,Snapshot by default; buffer distribution opt-in,"DENIED_PERMISSION or AVAILABLE_LIMITED",Return lightweight memory evidence without automatic max-memory recommendation,NO
BACKUP_CHAIN_EVIDENCE,msdb backup and restore history,Bounded visible-history window,"DENIED_PERMISSION or AVAILABLE_LIMITED",State pruned-history limitation and require test restore for proof,NO
STATISTICS_DISTRIBUTION,"Bounded statistics candidates, histogram DMF and incremental partition properties",Explicit CATALOG_DEEP opt-in with a hard per-database candidate cap,"DENIED_GROUP, DENIED_PERMISSION or AVAILABLE_LIMITED",Return numeric evidence and limitations without plan-cause or out-of-range claims,NO
DIAGNOSTIC_FINDINGS,Compatibility level 130 plus child-module JSON contracts,Core read-only modules enabled; expensive modules opt-in,"UNAVAILABLE_FEATURE or AVAILABLE_LIMITED",Return source module status and omit unavailable evidence,NO
SPECIAL_FEATURE_INVENTORY,"Visible database catalogs plus server external-scripts configuration",Lightweight aggregated catalog inventory; detected-only output optional,"DATABASE_UNAVAILABLE, DENIED_PERMISSION or AVAILABLE_LIMITED","Return per-database source status; zero visible rows never prove feature absence",NO
IN_MEMORY_OLTP_DEEP,"Visible XTP catalogs plus isolated database DMVs and resource-pool state",Base sources on request; full hash-chain scan explicit and CATALOG_DEEP-gated,"NOT_APPLICABLE, DENIED_GROUP, DENIED_PERMISSION or AVAILABLE_LIMITED","Preserve accessible source results; no automatic DDL and no database attribution from the default pool",NO
TEMPORAL_DEEP,"Visible temporal catalogs plus approximate partition statistics",Feature-gated per database; catalog mapping before isolated capacity and index sources,"NOT_APPLICABLE, DENIED_PERMISSION or AVAILABLE_LIMITED","Preserve accessible metadata; never infer row consistency, cleanup success or disconnected former mappings",NO
SERVICE_BROKER_DEEP,"Visible Broker catalogs, approximate queue partitions and isolated activation DMVs",Feature-gated per database; queue-dependent and independent runtime sources are isolated,"NOT_APPLICABLE, DENIED_PERMISSION or AVAILABLE_LIMITED","Preserve accessible metadata; never read queue payloads or infer a poison message from a disabled queue",NO
FULL_TEXT_DEEP,"Visible Full-Text catalogs plus isolated population, batch, fragment, semantic, memory-pool and FDHost sources",Feature-gated per database; server and database sources are isolated,"NOT_APPLICABLE, DENIED_PERMISSION or AVAILABLE_LIMITED","Preserve accessible metadata; never read indexed content, keywords, stopwords, crawl logs, paths or key values and never execute Full-Text DDL",NO
DATA_CAPTURE_DEEP,"Visible Change Tracking and CDC catalogs plus isolated CDC DMV msdb and local Distributor sources","CT and CDC are feature-gated per database; local replication details additionally require ENTERPRISE_TOPOLOGY_DEEP","NOT_APPLICABLE, DENIED_GROUP, DENIED_PERMISSION or AVAILABLE_LIMITED","Require a consumer watermark for CT loss; preserve source gaps; never read change rows replication commands error texts credentials or agent commands",NO
ENCRYPTION_LIFECYCLE,"TDE DMV, visible certificates, bounded backup metadata and aggregated Always Encrypted or Ledger catalogs",Read-only and database-bounded; explicit backup-encryption expectation is opt-in,"DENIED_PERMISSION, UNAVAILABLE_VERSION or AVAILABLE_LIMITED","Preserve source gaps; never read key paths signatures encrypted values media paths accounts or private keys",NO
MAINTENANCE_OPERATIONS,"Resumable-index catalog, current requests, ADR/PVS statistics and explicitly filtered Agent activity","Read-only; Agent source is NOT_REQUESTED until a job filter is supplied","DENIED_PERMISSION, UNAVAILABLE_VERSION or AVAILABLE_LIMITED","Never read SQL text job steps commands messages identities clients or wait resources and never resume abort kill or clean up",NO
PENDING_IO_CORRELATION,"sys.dm_io_pending_io_requests plus file-handle mapping and optional concurrent scheduler context","Enabled in USP_CurrentIO; physical paths remain opt-in","DENIED_PERMISSION, TIMEOUT or AVAILABLE_LIMITED","Keep file statistics; report each missing context source independently and never claim causal request attribution",NO
WORKER_PRESSURE,"Scheduler and worker DMVs plus THREADPOOL waits and bounded request context","One-second sample by default; no SQL plan identity or client text","DENIED_PERMISSION, TIMEOUT or AVAILABLE_LIMITED","Keep independently available sources and distinguish worker queues from runnable CPU queues",NO
DATABASE_CONFIGURATION_DRIFT,"Visible database options scoped configurations and Query Store options","Local variation only unless an explicit JSON profile is supplied","DATABASE_UNAVAILABLE, DENIED_PERMISSION or AVAILABLE_LIMITED","Continue per database and never turn local majority or profile mismatch into automatic DDL",NO
ERRORLOG_ANALYSIS,"Documented sp_readerrorlog keyword filters with post-read server-local time and row bounds","Current SQL Server log and high-signal categories; message text and Agent are opt-in","DENIED_PERMISSION, NOT_EXECUTED_ROW_LIMIT or AVAILABLE_LIMITED","Return summaries and per-filter source status; never cycle logs or persist message text",NO
SNAPSHOT_BASELINE_PERSISTENCE,"Separate SC-023 target schema plus monitor.USP_PerformanceCounters","Disabled until both installers and explicit configuration are completed","DISABLED, TARGET_UNAVAILABLE, DENIED_PERMISSION, STOPPED_SIZE_BUDGET or SKIPPED_CONCURRENT","Keep the stateless core available; never synthesize missing samples and never delete unexpired evidence",NO
EXTERNAL_RUNTIME_ANALYSIS,"SQL Server version plus isolated access to external-language catalogs, active request DMVs, external pools, Launchpad service state and counters","Read-only current-state analysis; no external code is executed and identity or file metadata requires explicit opt-in","UNAVAILABLE_VERSION, SOURCE_UNAVAILABLE, DENIED_PERMISSION, AVAILABLE_LIMITED, FEATURE_DISABLED or NOT_APPLICABLE","Return every accessible source with sourceStatus; preserve configuration/catalog/live/sampled evidence boundaries",NO
SQL_CLR_ANALYSIS,"SQL Server version plus isolated access to CLR catalogs, host DMVs, appdomains, loaded assemblies, tasks, requests, memory clerks and counters","Read-only current-state analysis; CLR is not enabled and no assembly is loaded or executed","UNAVAILABLE_VERSION, SOURCE_UNAVAILABLE, DENIED_PERMISSION, AVAILABLE_LIMITED, FEATURE_DISABLED or NOT_APPLICABLE","Return accessible catalog and runtime evidence; exclude binaries, hashes, module definitions, SQL text and plans",NO
