GapId,Priority,Conditionality,Area,ProposedObject,DefaultMode,CostClass,PrimarySources,PermissionScope,CoreFinding,FalsePositiveGuard,PrivacyClass,AcceptanceEvidence,ImplementationStatus
SC-016,P2,FEATURE,Temporal tables,monitor.USP_TemporalAnalysis,EXTENDED,MEDIUM,sys.tables|sys.periods|sys.columns|sys.dm_db_partition_stats|sys.indexes,Database metadata and partition-stat permissions,"Current/history mapping, retention configuration, approximate capacity and history-index baseline",Visible feature gate; isolated sources; no current/history row scan; no overlap or cleanup proof; disconnected former pairs are not guessed,RUNTIME_SCHEMA,"No-temporal, mapping, retention, capacity, index, memory-optimized, denied, filter, bounded and disabled-versioning-limit cases",IMPLEMENTED_ACTIONS_GATE
SC-017,P2,FEATURE,Service Broker,monitor.USP_ServiceBrokerAnalysis,EXTENDED,MEDIUM,sys.service_queues|sys.dm_db_partition_stats|sys.dm_broker_queue_monitors|sys.dm_broker_activated_tasks|sys.transmission_queue|sys.conversation_endpoints,Database metadata plus database/server DMV permissions,"Queue switches and approximate capacity, activation, transmission backlog and aggregated conversation state",Visible feature gate; isolated sources; no queue row or message-body read; disabled receive does not prove a poison message,RUNTIME_SENSITIVE_PAYLOAD,"No-Broker, configured-only, disabled-with-objects, queue-switch, capacity, activation, transmission, conversation, retention, denied, filter, bounded and payload-gate cases",IMPLEMENTED_ACTIONS_GATE
SC-018,P2,FEATURE,Full-Text,monitor.USP_FullTextAnalysis,EXTENDED,MEDIUM,Full-text catalogs/indexes/populations/memory DMVs,Database and full-text dependent,"Population, crawl, backlog and memory health",Module runs only when full-text objects exist,RUNTIME_SCHEMA,"No-fulltext, active, stalled and denied cases",IMPLEMENTED_ACTIONS_GATE
SC-019,P2,FEATURE,Change and replication,monitor.USP_DataCaptureDeepAnalysis,EXTENDED,MEDIUM,Change Tracking|CDC|replication metadata,Database/msdb/distributor dependent,"Cleanup, retention, capture and distribution lag",Client watermark required for CT loss; scheduled CDC contextualized; remote/topology gaps are reported and not treated as healthy,RUNTIME_ENVIRONMENT,"No-feature, CT watermark, CDC cleanup/scan/job, replication backlog/agent and remote-denied cases",IMPLEMENTED_ACTIONS_GATE
SC-020,P2,FEATURE,Encryption lifecycle,monitor.USP_EncryptionAnalysis,EXTENDED,LOW_MEDIUM,encryption keys|certificates|database encryption|backup metadata,Metadata permissions,TDE and certificate dependency state,Secrets private keys passwords key paths signatures encrypted values and media paths are never selected,RUNTIME_SECURITY_METADATA,"No-TDE, transition, suspended, encrypted, dependency-gap, explicit-backup and denied cases plus Actions runtime contract on 2019 2022 2025",IMPLEMENTED_ACTIONS_GATE
SC-021,P2,FEATURE,Special engines,monitor.USP_SpecialFeatureInventory,STANDARD,LOW,CLR|external tables/scripts|FILESTREAM|graph|spatial|XML|JSON|vector metadata,Feature dependent,Select applicable deep modules from actual feature use,Inventory is not a health verdict and zero visible rows do not prove absence,RUNTIME_SCHEMA,Feature-absent and one-case-per-feature capability tests,IMPLEMENTED_ACTIONS_GATE
SC-022,P2,UNIVERSAL,Maintenance operations,monitor.USP_MaintenanceOperations,EXTENDED,MEDIUM,resumable operations|requests|ADR|Agent jobs,Database and msdb dependent,"Paused, abandoned, overlapping or resource-heavy maintenance",Long duration alone is not classified; job metadata is not read without an explicit filter; no mutation is executed,RUNTIME_ENVIRONMENT,"Paused, active, rollback, overlap, PVS version, no-job-filter and denied cases plus Actions runtime contract on 2019 2022 2025",IMPLEMENTED_ACTIONS_GATE
SC-023,P3,SEPARATE_PACKAGE,Snapshots and baselines,monitor.USP_RunSnapshotCollectionCycle,PERSISTENT,MEDIUM_HIGH,Performance-counter samples and optional versioned payloads with reset epochs,New storage and execution rights,"First restart-safe baseline slice; broader collectors and rollups remain future work",Target-system snapshot database may contain real runtime data; repository and delivery artifacts remain synthetic,PERSISTENT_RUNTIME,Three-version installer collection retention budget concurrency and privacy contracts,IMPLEMENTED_ACTIONS_GATE
SC-024,P3,EXTERNAL,Fleet correlation,External fleet component,EXTERNAL,EXTERNAL,Multiple SQL Server instances,New transport and central-store rights,"Version, configuration and performance drift across instances",Tenant and environment isolation plus transport identity retention and deletion decisions are mandatory,EXTERNAL_PERSISTENCE,Repository interface and isolation contract documented without endpoint or environment data,DESIGN_READY_EXTERNAL_COMPONENT_REQUIRED
SC-025,P3,EXTERNAL,Restore and host proof,External runbook/integration,EXTERNAL,EXTERNAL,Restore target|CHECKDB|OS/storage/network telemetry,External administrative rights,End-to-end recoverability and host/storage evidence,T-SQL indicators are never presented as external proof,EXTERNAL_SENSITIVE,Synthetic external runbook and evidence schema documented; execution requires an isolated authorized target,RUNBOOK_READY_EXTERNAL_EXECUTION_REQUIRED
